question_id,category,status,final_answer,answer_v1,gate_feedback_v1,answer_v2,em_context_only,em_final,abstained,arm
A01,factual-lookup,pass,The minimum IT power threshold for mandatory waste heat disclosure under EED Article 26 (Data Centers) is 1.0 MW.,The minimum IT power threshold for mandatory waste heat disclosure under EED Article 26 (Data Centers) is 1.0 MW.,,,True,True,False,canonical
A02,factual-lookup,pass,"EED Article 26 compliance is mandatory for data centers above 1 MW, as they must disclose waste heat capacity annually if their IT power is >= 1 MW.","EED Article 26 compliance is mandatory for data centers above 1 MW, as they must disclose waste heat capacity annually if their IT power is >= 1 MW.",,,True,True,False,canonical
A03,factual-lookup,pass,EED Article 23 requires member states to conduct a mandatory comprehensive assessment of district heating (DH) every 5 years.,EED Article 23 requires member states to conduct a mandatory comprehensive assessment of district heating (DH) every 5 years.,,,True,True,False,canonical
A04,factual-lookup,pass,The Energy Efficiency Directive 2023/1791 was published in 2023.,The Energy Efficiency Directive 2023/1791 was published in 2023.,,,True,True,False,canonical
A05,factual-lookup,pass,"The Delegated Regulation 2024/1364 defines three KPIs for data center waste heat: TWH (T_CDU_return), ERF, and EREUSE, as specified in Article 2 (Definitions and KPIs).","The Delegated Regulation 2024/1364 defines three KPIs for data center waste heat: TWH (T_CDU_return), ERF, and EREUSE, as specified in Article 2 (Definitions and KPIs).",,,True,True,False,canonical
A06,factual-lookup,pass,The obligation type of EED Article 24 regarding district heating criteria is **mandatory**.,The obligation type of EED Article 24 regarding district heating criteria is **mandatory**.,,,True,True,False,canonical
A07,factual-lookup,pass,"3 RegulatoryArticles are defined under EED 2023/1791: EED-ART-23, EED-ART-24, and EED-ART-26.","3 RegulatoryArticles are defined under EED 2023/1791: EED-ART-23, EED-ART-24, and EED-ART-26.",,,False,False,False,canonical
A08,factual-lookup,retry_pass,"DEL-REG-2024-1364 (Del.Reg 2024) defines the KPI methodology, specifically defining KPI TWH (T_CDU_return) along with ERF and EREUSE, which applies to data center thermal waste heat reporting as mandated by EED-2023-1791 Article 26.","Not available in the knowledge graph.

The rows show that DEL-REG-2024-1364 defines KPI TWH (T_CDU_return), ERF, and EREUSE, but does not explicitly state it is for ""data center thermal waste heat reporting."" EED-2023-1791 Article 26 addresses data centers and waste heat disclosure, but does not mention KPI methodology definition. No row directly connects KPI methodology definition to data center thermal waste heat reporting.","The rows do contain relevant information: DEL-REG-2024-1364 defines KPIs including TWH (T_CDU_return), ERF, and EREUSE, and EED-2023-1791 Article 26 mandates data center waste heat disclosure, so the candidate answer should have connected these rather than claiming the information is not available.","DEL-REG-2024-1364 (Del.Reg 2024) defines the KPI methodology, specifically defining KPI TWH (T_CDU_return) along with ERF and EREUSE, which applies to data center thermal waste heat reporting as mandated by EED-2023-1791 Article 26.",True,True,False,canonical
A09,factual-lookup,pass,The scope of the ASHRAE 90.4 standard is data-center-energy-efficiency.,The scope of the ASHRAE 90.4 standard is data-center-energy-efficiency.,,,True,True,False,canonical
A10,factual-lookup,pass,ASHRAE publishes the ASHRAE-90.4 standard (Energy Standard for Data Centers).,ASHRAE publishes the ASHRAE-90.4 standard (Energy Standard for Data Centers).,,,True,True,False,canonical
