question_id,category,paraphrase_idx,original_question,paraphrased_question,original_template,paraphrase_template,routing_stable
A06,factual-lookup,1,What is the obligation type of EED Article 24 regarding district heating criteria?,"Regarding district heating criteria, what type of obligation does EED Article 24 establish?",ALL_REGULATORY_ARTICLES,ALL_REGULATORY_ARTICLES,True
A06,factual-lookup,2,What is the obligation type of EED Article 24 regarding district heating criteria?,What kind of obligation is defined by EED Article 24 with respect to district heating criteria?,ALL_REGULATORY_ARTICLES,ALL_REGULATORY_ARTICLES,True
A06,factual-lookup,3,What is the obligation type of EED Article 24 regarding district heating criteria?,"In terms of district heating criteria, how is the obligation type characterized under EED Article 24?",ALL_REGULATORY_ARTICLES,ALL_REGULATORY_ARTICLES,True
A20,factual-lookup,1,What is the nominal PUE of the mid-size data center?,What is the rated PUE of the mid-size data center?,GENERIC_DC,GENERIC_DC,True
A20,factual-lookup,2,What is the nominal PUE of the mid-size data center?,"For the mid-size data center, what does the nominal PUE equal?",GENERIC_DC,GENERIC_DC,True
A20,factual-lookup,3,What is the nominal PUE of the mid-size data center?,What value is assigned as the nominal PUE for the mid-size data center?,GENERIC_DC,GENERIC_DC,True
A21,factual-lookup,1,What is the value of Italian white certificates (TEE/CB) in EUR per toe?,What is the EUR per toe value of Italian white certificates (TEE/CB)?,P4_incentives_it_whr,P4_incentives_it_whr,True
A21,factual-lookup,2,What is the value of Italian white certificates (TEE/CB) in EUR per toe?,How much are Italian white certificates (TEE/CB) worth in EUR per toe?,P4_incentives_it_whr,P4_incentives_it_whr,True
A21,factual-lookup,3,What is the value of Italian white certificates (TEE/CB) in EUR per toe?,"In EUR per toe, what is the price of Italian white certificates (TEE/CB)?",P4_incentives_it_whr,P4_incentives_it_whr,True
A13,factual-lookup,1,What temperature range defines the T1 low-grade heat band?,What are the temperature limits that characterize the T1 low-grade heat band?,TEMPERATURE_BAND_DEF,TEMPERATURE_BAND_DEF,True
A13,factual-lookup,2,What temperature range defines the T1 low-grade heat band?,The T1 low-grade heat band is defined by which temperature range?,TEMPERATURE_BAND_DEF,TEMPERATURE_BAND_DEF,True
A13,factual-lookup,3,What temperature range defines the T1 low-grade heat band?,Which range of temperatures establishes the boundaries of the T1 low-grade heat band?,TEMPERATURE_BAND_DEF,TEMPERATURE_BAND_DEF,True
A25,factual-lookup,1,How many Italian regulatory decrees on energy efficiency are in the knowledge graph?,What is the total number of Italian regulatory decrees concerning energy efficiency present in the knowledge graph?,P4_incentives_it_whr,P4_incentives_it_whr,True
A25,factual-lookup,2,How many Italian regulatory decrees on energy efficiency are in the knowledge graph?,"In the knowledge graph, how many decrees issued by Italian regulatory authorities on the subject of energy efficiency can be found?",P4_incentives_it_whr,P4_incentives_it_whr,True
