question_id,category,status,final_answer,em_final,abstained,em_context_only_canonical,ctx_contains_gt_keywords,pool,union_rows,step_3_19_bucket,gen_model,cot_confidence,cot_n_facts,cot_n_steps,cot_parse_ok
A01,factual-lookup,pass,1.0 MW,True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|GENERIC_DC|P4_incentives_it_whr|P3_regulatory_screening_dk,12,,claude-haiku-4-5-20251001,high,1,4,True
A02,factual-lookup,pass,EED Article 26 compliance is mandatory for data centers with IT power >= 1.0 MW. These data centers must disclose waste heat capacity annually.,True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|ISO50001_PROCESS_COMPLIANCE|GENERIC_COUNTRY,20,,claude-haiku-4-5-20251001,high,1,4,True
A03,factual-lookup,pass,EED Article 23 requires member states to conduct a mandatory assessment of district heating (DH) every 5 years.,True,False,True,True,ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|P1_eed_art26_threshold|P3_regulatory_screening_dk|DK_DH_COMPARE,13,,claude-haiku-4-5-20251001,high,1,3,True
A04,factual-lookup,pass,2023,True,False,True,True,ALL_REGULATORY_ARTICLES|GENERIC_STANDARD|GENERIC_REGULATION|DK_NECP_TARGET|ISO50001_ARTICLES,22,,claude-haiku-4-5-20251001,high,1,2,True
A05,factual-lookup,pass,"Delegated Regulation 2024/1364, Article 2 defines the following KPIs for data center waste heat: TWH (T_CDU_return), ERF, and EREUSE.",True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_DC|P4_incentives_it_whr|P2_thermal_compatibility_all,20,,claude-haiku-4-5-20251001,high,1,3,True
A06,factual-lookup,pass,mandatory,True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_COUNTRY|P3_regulatory_screening_dk|DK_DH_COMPARE,13,,claude-haiku-4-5-20251001,high,1,3,True
A07,factual-lookup,pass,"```json
{
  ""extracted_facts"": [
    ""regulation EED-2023-1791, reg_name EED 2023, article_id EED-ART-11, art_no 11, title Energy management systems and energy audits"",
    ""regulation EED-2023-1791, reg_name EED 2023, article_id EED-ART-12, art_no 12, title Energy management systems"",
    ""regulation EED-2023-1791, reg_name EED 2023, article_id EED-ART-23, art_no 23, title Comprehensive Assessment"",
    ""regulation EED-2023-1791, reg_name EED 2023, article_id EED-ART-24, art_no 24, title Heating and Cooling"",
    ""regulation EED-2023-1791, reg_name EED 2023, article_id EED-ART-26, art_no 26, title Data Centers"",
    ""reg_id EED-2023-1791, name Energy Efficiency Directive 2023/1791, jurisdiction EU, year 2023, articles ['Data Centers', 'Heating and Cooling', 'Comprehensive Assessment', 'Energy management systems and energy aud",False,False,False,False,ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|GENERIC_REGULATION|TEMPERATURE_BAND_DEF|P1_eed_art26_threshold,20,,claude-haiku-4-5-20251001,,0,0,False
A08,factual-lookup,pass,"```json
{
  ""extracted_facts"": [
    ""regulation DEL-REG-2024-1364, reg_name Del.Reg 2024, article_id DEL-REG-ART-2, art_no 2, title Definitions and KPIs, obligation mandatory, summary Defines KPI TWH (T_CDU_return), ERF, EREUSE."",
    ""regulation EED-2023-1791, reg_name EED 2023, article_id EED-ART-26, art_no 26, title Data Centers, obligation mandatory, threshold_mw 1.0, summary DC with IT power >= 1MW must disclose waste heat capacity annually.""
  ],
  ""reasoning_chain"": [
    ""EED-2023-1791 Article 26 establishes the mandatory obligation for data centers to disclose waste heat capacity annually."",
    ""DEL-REG-2024-1364 Article 2 is titled 'Definitions and KPIs' and explicitly defines KPI TWH (T_CDU_return), ERF, and EREUSE."",
    ""The KPI definitions in DEL-REG-2024-1364 Article 2 provide the methodology for thermal waste heat reporting referenced in EED Article",True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_DC|P2_thermal_compatibility_all|P4_incentives_it_whr,20,,claude-haiku-4-5-20251001,,0,0,False
A09,factual-lookup,pass,data-center-energy-efficiency,True,False,True,True,GENERIC_STANDARD|ISO50001_PROCESS_COMPLIANCE|ISO50001_ARTICLES|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001,high,1,3,True
A10,factual-lookup,pass,ASHRAE,True,False,True,True,GENERIC_STANDARD|ISO50001_PROCESS_COMPLIANCE|ISO50001_ARTICLES|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001,high,1,2,True
