question_id,category,em_context_only,em_llm_rerun,answer_llm,model
A01,factual-lookup,True,True,The minimum IT power threshold for mandatory waste heat disclosure under EED Article 26 (Data Centers) is 1.0 MW.,claude-haiku-4-5-20251001
A02,factual-lookup,True,True,"EED Article 26 compliance is mandatory for data centers above 1 MW, as they must disclose waste heat capacity annually if their IT power is >= 1 MW.",claude-haiku-4-5-20251001
A03,factual-lookup,True,True,EED Article 23 requires member states to conduct a mandatory comprehensive assessment of district heating (DH) every 5 years.,claude-haiku-4-5-20251001
A04,factual-lookup,True,True,The Energy Efficiency Directive 2023/1791 was published in 2023.,claude-haiku-4-5-20251001
A05,factual-lookup,True,True,"The Delegated Regulation 2024/1364 defines three KPIs for data center waste heat: TWH (T_CDU_return), ERF, and EREUSE, as specified in Article 2 (Definitions and KPIs).",claude-haiku-4-5-20251001
A06,factual-lookup,True,True,The obligation type of EED Article 24 regarding district heating criteria is **mandatory**.,claude-haiku-4-5-20251001
A07,factual-lookup,False,False,"3 RegulatoryArticles are defined under EED 2023/1791: EED-ART-23, EED-ART-24, and EED-ART-26.",claude-haiku-4-5-20251001
A08,factual-lookup,True,True,"Not available in the knowledge graph.

The rows show that DEL-REG-2024-1364 defines KPI TWH (T_CDU_return), ERF, and EREUSE, but does not explicitly state it is for ""data center thermal waste heat reporting."" EED-2023-1791 Article 26 addresses data centers and waste heat disclosure, but does not mention KPI methodology definition. No row directly connects KPI methodology definition to data center thermal waste heat reporting.",claude-haiku-4-5-20251001
A09,factual-lookup,True,True,The scope of the ASHRAE 90.4 standard is data-center-energy-efficiency.,claude-haiku-4-5-20251001
A10,factual-lookup,True,True,ASHRAE publishes the ASHRAE-90.4 standard (Energy Standard for Data Centers).,claude-haiku-4-5-20251001
A11,factual-lookup,True,True,"ISO-23247 covers digital twin manufacturing framework, issued by ISO in 2021.",claude-haiku-4-5-20251001
A12,factual-lookup,True,True,ISO 23247 was published in 2021.,claude-haiku-4-5-20251001
A13,factual-lookup,True,True,The T1 low-grade heat band is defined by a temperature range of 40.0 to 60.0 degrees Celsius.,claude-haiku-4-5-20251001
A14,factual-lookup,True,False,Not available in the knowledge graph.,claude-haiku-4-5-20251001
A15,factual-lookup,True,True,The T3 high-grade heat band is defined by a temperature range of 90.0 to 130.0 degrees Celsius.,claude-haiku-4-5-20251001
A16,factual-lookup,True,True,"There are 3 temperature bands defined in the IS framework: T1 (Low Grade), T2 (Medium Grade), and T3 (High Grade).",claude-haiku-4-5-20251001
A17,factual-lookup,True,True,The IT capacity of the Edge data center archetype (DC-S) is 500 kilowatts.,claude-haiku-4-5-20251001
A18,factual-lookup,True,True,"All three data center archetypes (DC-S, DC-M, and DC-L) use **liquid cooling**.",claude-haiku-4-5-20251001
A19,factual-lookup,True,False,Not available in the knowledge graph.,claude-haiku-4-5-20251001
A20,factual-lookup,True,True,The nominal PUE of the mid-size data center (DC-M) is 1.15.,claude-haiku-4-5-20251001
A21,factual-lookup,True,True,The value of Italian white certificates (Titoli di Efficienza Energetica / Certificati Bianchi) is **300.0 EUR per toe**.,claude-haiku-4-5-20251001
A22,factual-lookup,True,True,The EUR per MWh value of Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentives is 25.8 EUR/MWh.,claude-haiku-4-5-20251001
A23,factual-lookup,True,True,"The eligible technologies for Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) white certificates are: waste-heat-recovery, heat-pump, and absorption-chiller.",claude-haiku-4-5-20251001
A24,factual-lookup,False,False,"Not available in the knowledge graph.

The provided row contains information about the Titoli di Efficienza Energetica (White Certificates) system, including incentive values, eligible technologies, and governing decrees, but does not specify which Italian body administers this system.",claude-haiku-4-5-20251001
A25,factual-lookup,False,False,There are 2 Italian regulatory decrees on energy efficiency in the knowledge graph: DM 2021 (fondante) and DM MASE 2025.,claude-haiku-4-5-20251001
A26,factual-lookup,False,False,"DM 2021 (fondante) is considered the founding act of the TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) system, as indicated by the ""(fondante)"" designation in the governing decrees.",claude-haiku-4-5-20251001
A27,factual-lookup,True,True,The mandatory DH connection threshold under Danish Varmeforsyningsloven is 1.0 MW for heat sources located in municipal DH planning areas.,claude-haiku-4-5-20251001
A28,factual-lookup,True,True,The supply temperature of the Danish 4th Generation DH (Generic) network is 60.0 degrees Celsius.,claude-haiku-4-5-20251001
A29,factual-lookup,True,True,The return temperature of the Danish 4GDH network is 35.0 degrees Celsius.,claude-haiku-4-5-20251001
A30,factual-lookup,False,False,Not available in the knowledge graph.,claude-haiku-4-5-20251001
A31,factual-lookup,False,False,Not available in the knowledge graph.,claude-haiku-4-5-20251001
A32,factual-lookup,False,False,Not available in the knowledge graph.,claude-haiku-4-5-20251001
A33,factual-lookup,False,False,Not available in the knowledge graph.,claude-haiku-4-5-20251001
A34,factual-lookup,True,True,The supply temperature of the Danish 3GDH legacy network is 80.0 degrees Celsius.,claude-haiku-4-5-20251001
B01,multi-hop-is,True,False,The thermal compatibility status of Scenario S1 using direct heat exchange is REQUIRES_UPGRADE.,claude-haiku-4-5-20251001
B02,multi-hop-is,True,False,"Not available in the knowledge graph.

The provided rows contain data center specifications (DC-S, DC-M, DC-L) with their technical parameters, but do not include any information about scenarios or processes associated with them.",claude-haiku-4-5-20251001
B03,multi-hop-is,True,False,The upgrade technology associated with Scenario S9 is CO2_HTHP.,claude-haiku-4-5-20251001
B04,multi-hop-is,False,False,1 scenario uses liquid cooling with direct heat exchange: S1.,claude-haiku-4-5-20251001
B05,multi-hop-is,True,False,"The available heat capacity in Scenario S7 is 29,500 kW.",claude-haiku-4-5-20251001
B06,multi-hop-is,False,False,"Not available in the knowledge graph.

The provided row only contains data for Scenario S1 with datacenter DC-S and band T1. There is no data for Scenario S3, Edge DC, or band T3.",claude-haiku-4-5-20251001
