question_id,category,status,final_answer,em_final,abstained,em_context_only,contaminated_gt_seen,generator
A01,factual-lookup,pass,The minimum IT power threshold for mandatory waste heat disclosure under EED Article 26 is 1.0 MW.,True,False,True,True,"claude-fable-5 (in-session, blinded-rows protocol)"
A02,factual-lookup,pass,It is mandatory: data centres with IT power at or above 1.0 MW must disclose their waste heat capacity annually.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A03,factual-lookup,pass,EED Article 23 requires member states to carry out a mandatory comprehensive assessment of district heating every 5 years.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A04,factual-lookup,pass,The Energy Efficiency Directive 2023/1791 was published in 2023.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A05,factual-lookup,pass,"Delegated Regulation 2024/1364, Article 2, defines the KPIs TWH (T_CDU_return), ERF and EREUSE.",False,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A06,factual-lookup,pass,EED Article 24 (Heating and Cooling) is a mandatory obligation setting the efficient district heating and cooling criteria.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A07,factual-lookup,pass,"3 RegulatoryArticles are defined under EED 2023/1791: EED-ART-23 (Comprehensive Assessment), EED-ART-24 (Heating and Cooling) and EED-ART-26 (Data Centers).",False,False,False,True,"claude-fable-5 (in-session, blinded-rows protocol)"
A08,factual-lookup,pass,"Delegated Regulation 2024/1364 (DEL-REG-ART-2, Definitions and KPIs) defines the KPI methodology, covering TWH (T_CDU_return), ERF and EREUSE.",True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A09,factual-lookup,pass,ASHRAE 90.4 is the Energy Standard for Data Centers; its scope is data-center energy efficiency.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A10,factual-lookup,pass,ASHRAE publishes the ASHRAE 90.4 standard.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A11,factual-lookup,pass,ISO 23247 covers the Digital Twin manufacturing framework (scope: digital-twin-manufacturing).,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A12,factual-lookup,pass,ISO 23247 was published in 2021.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
A13,factual-lookup,pass,The T1 low-grade heat band spans 40.0 to 60.0 degrees Celsius.,True,False,True,False,"claude-fable-5 (in-session, blinded-rows protocol)"
