question_id,category,status,final_answer,em_final,abstained,em_context_only_canonical,ctx_contains_gt_keywords,pool,union_rows,step_3_19_bucket,gen_model
A01,factual-lookup,pass,The minimum IT power threshold for mandatory waste heat disclosure under EED Article 26 is 1.0 MW.,True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|GENERIC_DC|P4_incentives_it_whr|P3_regulatory_screening_dk,12,,claude-haiku-4-5-20251001
A02,factual-lookup,pass,EED Article 26 compliance is **mandatory** for data centers with IT power ≥ 1 MW; they must disclose waste heat capacity annually.,True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|ISO50001_PROCESS_COMPLIANCE|GENERIC_COUNTRY,20,,claude-haiku-4-5-20251001
A03,factual-lookup,pass,EED Article 23 (Comprehensive Assessment) requires member states to conduct a mandatory assessment of district heating every 5 years.,True,False,True,True,ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|P1_eed_art26_threshold|P3_regulatory_screening_dk|DK_DH_COMPARE,13,,claude-haiku-4-5-20251001
A04,factual-lookup,pass,The Energy Efficiency Directive 2023/1791 was published in 2023.,True,False,True,True,ALL_REGULATORY_ARTICLES|GENERIC_STANDARD|GENERIC_REGULATION|DK_NECP_TARGET|ISO50001_ARTICLES,22,,claude-haiku-4-5-20251001
A05,factual-lookup,pass,"Delegated Regulation 2024/1364 (Article 2) defines three KPIs: TWH (T_CDU_return), ERF, and EREUSE.",False,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_DC|P4_incentives_it_whr|P2_thermal_compatibility_all,20,,claude-haiku-4-5-20251001
A06,factual-lookup,pass,The obligation type of EED Article 24 regarding district heating criteria is **mandatory**.,True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_COUNTRY|P3_regulatory_screening_dk|DK_DH_COMPARE,13,,claude-haiku-4-5-20251001
A07,factual-lookup,pass,"5 RegulatoryArticles are defined under EED 2023/1791: EED-ART-11 (Energy management systems and energy audits), EED-ART-12 (Energy management systems), EED-ART-23 (Comprehensive Assessment), EED-ART-24 (Heating and Cooling), and EED-ART-26 (Data Centers).",False,False,False,False,ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|GENERIC_REGULATION|TEMPERATURE_BAND_DEF|P1_eed_art26_threshold,20,,claude-haiku-4-5-20251001
A08,factual-lookup,pass,"Regulation **EED-2023-1791, Article 26** defines the requirement for data centers with IT power ≥ 1 MW to disclose waste heat capacity annually. However, the specific KPI methodology (TWH, ERF, EREUSE) is defined in regulation **DEL-REG-2024-1364, Article 2** titled ""Definitions and KPIs.""",True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_DC|P2_thermal_compatibility_all|P4_incentives_it_whr,20,,claude-haiku-4-5-20251001
A09,factual-lookup,pass,The scope of the ASHRAE 90.4 standard is data-center-energy-efficiency.,True,False,True,True,GENERIC_STANDARD|ISO50001_PROCESS_COMPLIANCE|ISO50001_ARTICLES|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001
A10,factual-lookup,pass,"ASHRAE publishes the ASHRAE 90.4 standard (Energy Standard for Data Centers, 2022).",True,False,True,True,GENERIC_STANDARD|ISO50001_PROCESS_COMPLIANCE|ISO50001_ARTICLES|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001
A11,factual-lookup,pass,"ISO 23247 covers digital twin manufacturing framework, issued by ISO in 2021.",True,False,True,True,GENERIC_STANDARD|ISO50001_ARTICLES|ISO50001_PROCESS_COMPLIANCE|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001
A12,factual-lookup,pass,ISO 23247 was published in 2021.,True,False,True,True,GENERIC_STANDARD|GENERIC_REGULATION|DK_NECP_TARGET|ISO50001_ARTICLES|ISO50001_PROCESS_COMPLIANCE,25,,claude-haiku-4-5-20251001
A13,factual-lookup,pass,The T1 low-grade heat band is defined by a temperature range of 40.0 to 60.0 degrees Celsius.,True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|P6_full_is_path|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,40,,claude-haiku-4-5-20251001
A14,factual-lookup,pass,The T2 medium-grade heat band is defined by a temperature range of 60.0 to 90.0 degrees Celsius.,True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|P6_full_is_path|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,40,synthesis_or_metric,claude-haiku-4-5-20251001
A15,factual-lookup,pass,The T3 high-grade heat band is defined by a temperature range of 90.0 to 130.0 degrees Celsius.,True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|P6_full_is_path|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,40,,claude-haiku-4-5-20251001
A16,factual-lookup,pass,"There are 3 temperature bands defined in the IS framework: T1 (Low Grade), T2 (Medium Grade), and T3 (High Grade).",True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|GENERIC_STANDARD,22,,claude-haiku-4-5-20251001
