question_id,category,em_context_only,em_llm_rerun,answer_llm,final_answer,em_final,status,abstained,model
A01,factual-lookup,True,True,"The minimum IT power threshold for mandatory waste heat disclosure is **1.0 MW**, applicable to data centers with IT power at or above this level, who must disclose waste heat capacity annually.","The minimum IT power threshold for mandatory waste heat disclosure is **1.0 MW**, applicable to data centers with IT power at or above this level, who must disclose waste heat capacity annually.",True,pass,False,claude-sonnet-4-6
A02,factual-lookup,True,True,"Compliance is **mandatory** for data centers with IT power at or above **1 MW**, requiring annual disclosure of waste heat capacity.","Compliance is **mandatory** for data centers with IT power at or above **1 MW**, requiring annual disclosure of waste heat capacity.",True,pass,False,claude-sonnet-4-6
A03,factual-lookup,True,True,EED Article 23 (Comprehensive Assessment) requires member states to conduct a mandatory assessment of district heating every 5 years.,EED Article 23 (Comprehensive Assessment) requires member states to conduct a mandatory assessment of district heating every 5 years.,True,pass,False,claude-sonnet-4-6
A04,factual-lookup,True,True,The Energy Efficiency Directive 2023/1791 was published in **2023**.,The Energy Efficiency Directive 2023/1791 was published in **2023**.,True,pass,False,claude-sonnet-4-6
A05,factual-lookup,True,True,"Delegated Regulation 2024/1364 (Article 2, ""Definitions and KPIs"") defines the following KPIs for data center waste heat: **TWH (T_CDU_return)**, **ERF (Energy Reuse Factor)**, and **EREUSE**.","Delegated Regulation 2024/1364 (Article 2, ""Definitions and KPIs"") defines the following KPIs for data center waste heat: **TWH (T_CDU_return)**, **ERF (Energy Reuse Factor)**, and **EREUSE**.",True,pass,False,claude-sonnet-4-6
A06,factual-lookup,True,True,The obligation type of EED Article 24 (Heating and Cooling) regarding efficient district heating and cooling criteria is **mandatory**.,The obligation type of EED Article 24 (Heating and Cooling) regarding efficient district heating and cooling criteria is **mandatory**.,True,pass,False,claude-sonnet-4-6
A07,factual-lookup,False,False,"There are **3** Regulatory Articles defined under EED 2023/1791 in the knowledge graph: **EED-ART-23**, **EED-ART-24**, and **EED-ART-26**.","There are **3** Regulatory Articles defined under EED 2023/1791 in the knowledge graph: **EED-ART-23**, **EED-ART-24**, and **EED-ART-26**.",False,pass,False,claude-sonnet-4-6
A08,factual-lookup,True,True,"The KPI methodology for data center thermal waste heat reporting (including KPIs TWH, ERF, and EREUSE) is defined in **Del.Reg 2024 (DEL-REG-2024-1364), Article 2 – ""Definitions and KPIs""**, which is a mandatory obligation.","The KPI methodology for data center thermal waste heat reporting (including KPIs TWH, ERF, and EREUSE) is defined in **Del.Reg 2024 (DEL-REG-2024-1364), Article 2 – ""Definitions and KPIs""**, which is a mandatory obligation.",True,pass,False,claude-sonnet-4-6
A09,factual-lookup,True,True,The scope of the ASHRAE 90.4 standard is **data-center-energy-efficiency**.,The scope of the ASHRAE 90.4 standard is **data-center-energy-efficiency**.,True,pass,False,claude-sonnet-4-6
A10,factual-lookup,True,True,"ASHRAE publishes the ASHRAE 90.4 standard (Energy Standard for Data Centers), issued in 2022.","ASHRAE publishes the ASHRAE 90.4 standard (Energy Standard for Data Centers), issued in 2022.",True,pass,False,claude-sonnet-4-6
A11,factual-lookup,True,True,"ISO 23247, titled ""Digital Twin manufacturing framework,"" covers the scope of **digital twin manufacturing**, as issued by ISO in 2021.","ISO 23247, titled ""Digital Twin manufacturing framework,"" covers the scope of **digital twin manufacturing**, as issued by ISO in 2021.",True,pass,False,claude-sonnet-4-6
A12,factual-lookup,True,True,ISO 23247 (Digital Twin manufacturing framework) was published in **2021**.,ISO 23247 (Digital Twin manufacturing framework) was published in **2021**.,True,pass,False,claude-sonnet-4-6
A13,factual-lookup,True,True,The T1 Low Grade heat band is defined by a temperature range of **40.0°C to 60.0°C**.,The T1 Low Grade heat band is defined by a temperature range of **40.0°C to 60.0°C**.,True,pass,False,claude-sonnet-4-6
A14,factual-lookup,True,False,Not available in the knowledge graph.,Not available in the knowledge graph.,False,abstain,True,claude-sonnet-4-6
A15,factual-lookup,True,True,The T3 High Grade heat band is defined by a temperature range of **90.0°C to 130.0°C**.,The T3 High Grade heat band is defined by a temperature range of **90.0°C to 130.0°C**.,True,pass,False,claude-sonnet-4-6
A16,factual-lookup,True,True,"There are **3** temperature bands defined in the IS framework: **T1** (Low Grade, 40–60°C), **T2** (Medium Grade, 60–90°C), and **T3** (High Grade, 90–130°C).","There are **3** temperature bands defined in the IS framework: **T1** (Low Grade, 40–60°C), **T2** (Medium Grade, 60–90°C), and **T3** (High Grade, 90–130°C).",True,pass,False,claude-sonnet-4-6
A17,factual-lookup,True,True,The IT capacity of the Edge data center archetype (DC-S) is **500 kW**.,The IT capacity of the Edge data center archetype (DC-S) is **500 kW**.,True,pass,False,claude-sonnet-4-6
A18,factual-lookup,True,True,"All three data center archetypes (DC-S, DC-M, and DC-L) use **liquid** cooling.","All three data center archetypes (DC-S, DC-M, and DC-L) use **liquid** cooling.",True,pass,False,claude-sonnet-4-6
A19,factual-lookup,True,True,"The available waste heat capacity across all three scenarios (S7, S8, S9) is **29,500 kW**, which is consistent for the hyperscale data center archetype regardless of the temperature band or upgrade technology applied.","The available waste heat capacity across all three scenarios (S7, S8, S9) is **29,500 kW**, which is consistent for the hyperscale data center archetype regardless of the temperature band or upgrade technology applied.",True,pass,False,claude-sonnet-4-6
A20,factual-lookup,True,True,The nominal PUE of the mid-size data center (DC-M) is **1.15**.,The nominal PUE of the mid-size data center (DC-M) is **1.15**.,True,pass,False,claude-sonnet-4-6
A21,factual-lookup,True,True,The value of Italian white certificates (Titoli di Efficienza Energetica / Certificati Bianchi) is **300.0 EUR per toe**.,The value of Italian white certificates (Titoli di Efficienza Energetica / Certificati Bianchi) is **300.0 EUR per toe**.,True,pass,False,claude-sonnet-4-6
A22,factual-lookup,True,True,The EUR per MWh value of Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentives is **25.8 EUR/MWh**.,The EUR per MWh value of Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) incentives is **25.8 EUR/MWh**.,True,pass,False,claude-sonnet-4-6
A23,factual-lookup,True,True,"The three technologies eligible for Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) white certificates are: **waste-heat-recovery**, **heat-pump**, and **absorption-chiller**.","The three technologies eligible for Italian TEE/CB (Titoli di Efficienza Energetica / Certificati Bianchi) white certificates are: **waste-heat-recovery**, **heat-pump**, and **absorption-chiller**.",True,pass,False,claude-sonnet-4-6
A24,factual-lookup,False,False,Not available in the knowledge graph.,Not available in the knowledge graph.,False,abstain,True,claude-sonnet-4-6
A25,factual-lookup,False,False,"There are **2** Italian regulatory decrees in the knowledge graph: **DM 2021 (fondante)** and **DM MASE 2025**, both governing the *Titoli di Efficienza Energetica / Certificati Bianchi* incentive.","There are **2** Italian regulatory decrees in the knowledge graph: **DM 2021 (fondante)** and **DM MASE 2025**, both governing the *Titoli di Efficienza Energetica / Certificati Bianchi* incentive.",False,pass,False,claude-sonnet-4-6
