question_id,category,status,final_answer,em_final,abstained,em_context_only_canonical,ctx_contains_gt_keywords,pool,union_rows,step_3_19_bucket,gen_model,n_samples,vote_count,unanimous,parse_ok_n
A01,factual-lookup,pass,The minimum IT power threshold for mandatory waste heat disclosure under EED Article 26 is 1.0 MW.,True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|GENERIC_DC|P4_incentives_it_whr|P3_regulatory_screening_dk,12,,claude-haiku-4-5-20251001,3,2,False,3
A02,factual-lookup,pass,EED Article 26 compliance is mandatory for data centers with IT power >= 1.0 MW. These data centers must disclose waste heat capacity annually.,True,False,True,True,P1_eed_art26_threshold|ALL_REGULATORY_ARTICLES|P3_regulatory_screening_dk|ISO50001_PROCESS_COMPLIANCE|GENERIC_COUNTRY,20,,claude-haiku-4-5-20251001,3,1,False,3
A03,factual-lookup,pass,EED Article 23 requires member states to conduct a mandatory assessment of district heating (DH) every 5 years.,True,False,True,True,ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|P1_eed_art26_threshold|P3_regulatory_screening_dk|DK_DH_COMPARE,13,,claude-haiku-4-5-20251001,3,1,False,3
A04,factual-lookup,pass,2023,True,False,True,True,ALL_REGULATORY_ARTICLES|GENERIC_STANDARD|GENERIC_REGULATION|DK_NECP_TARGET|ISO50001_ARTICLES,22,,claude-haiku-4-5-20251001,3,3,True,3
A05,factual-lookup,pass,"Delegated Regulation 2024/1364, Article 2 defines the following KPIs for data center waste heat: TWH (T_CDU_return), ERF, and EREUSE.",True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_DC|P4_incentives_it_whr|P2_thermal_compatibility_all,20,,claude-haiku-4-5-20251001,3,3,True,3
A06,factual-lookup,pass,mandatory,True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_COUNTRY|P3_regulatory_screening_dk|DK_DH_COMPARE,13,,claude-haiku-4-5-20251001,3,3,True,3
A07,factual-lookup,pass,"5 RegulatoryArticles are defined under EED 2023/1791 in the knowledge graph: Article 11 (Energy management systems and energy audits), Article 12 (Energy management systems), Article 23 (Comprehensive Assessment), Article 24 (Heating and Cooling), and Article 26 (Data Centers).",False,False,False,False,ALL_REGULATORY_ARTICLES|GENERIC_COUNTRY|GENERIC_REGULATION|TEMPERATURE_BAND_DEF|P1_eed_art26_threshold,20,,claude-haiku-4-5-20251001,3,3,True,3
A08,factual-lookup,pass,"DEL-REG-2024-1364 (Del.Reg 2024), Article 2 'Definitions and KPIs' defines the KPI methodology for data center thermal waste heat reporting, specifically defining KPI TWH (T_CDU_return), ERF, and EREUSE.",True,False,True,True,ALL_REGULATORY_ARTICLES|P1_eed_art26_threshold|GENERIC_DC|P2_thermal_compatibility_all|P4_incentives_it_whr,20,,claude-haiku-4-5-20251001,3,2,False,3
A09,factual-lookup,pass,data-center-energy-efficiency,True,False,True,True,GENERIC_STANDARD|ISO50001_PROCESS_COMPLIANCE|ISO50001_ARTICLES|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001,3,2,False,3
A10,factual-lookup,pass,ASHRAE,True,False,True,True,GENERIC_STANDARD|ISO50001_PROCESS_COMPLIANCE|ISO50001_ARTICLES|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001,3,3,True,3
A11,factual-lookup,pass,"ISO-23247 is the Digital Twin manufacturing framework issued by ISO in 2021, covering digital-twin-manufacturing.",True,False,True,True,GENERIC_STANDARD|ISO50001_ARTICLES|ISO50001_PROCESS_COMPLIANCE|ALL_REGULATORY_ARTICLES|DK_3GDH_PARAMS,24,,claude-haiku-4-5-20251001,3,1,False,3
A12,factual-lookup,pass,ISO 23247 was published in 2021.,True,False,True,True,GENERIC_STANDARD|GENERIC_REGULATION|DK_NECP_TARGET|ISO50001_ARTICLES|ISO50001_PROCESS_COMPLIANCE,25,,claude-haiku-4-5-20251001,3,3,True,3
A13,factual-lookup,pass,The T1 low-grade heat band is defined by a temperature range of 40.0 to 60.0 degrees Celsius.,True,False,True,True,TEMPERATURE_BAND_DEF|P2_thermal_compatibility_all|P6_full_is_path|ALL_REGULATORY_ARTICLES|GENERIC_STANDARD,40,,claude-haiku-4-5-20251001,3,3,True,3
